date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:36	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2023%20Dec%202021%2010:24:33%20GMT	https://canadaconstructionlimited.ca/robots.txt		(from )
15:54:40	31152/31152	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:24:39%20GMT	https://canadaconstructionlimited.ca/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/index.html	(from )
15:54:41	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2023%20Dec%202021%2010:24:41%20GMT	https://canadaconstructionlimited.ca/xmlrpc.php	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/xmlrpc.php	(from https://canadaconstructionlimited.ca/)
15:54:42	675/675	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202017%2013:03:57%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2017/04/red-leaf.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2017/04/red-leaf.png	(from https://canadaconstructionlimited.ca/)
15:54:56	703/703	---MC-	200	added ('OK')	application/rss+xml	etag:%223808083af662797da5f07b41a5e4d9d8%22	https://canadaconstructionlimited.ca/homepage/feed/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/homepage/feed/index.html	(from https://canadaconstructionlimited.ca/)
15:55:00	29002/29002	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2020:58:37%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/fitwp-shortcodes/css/frontend.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/fitwp-shortcodes/css/frontend7938.css	(from https://canadaconstructionlimited.ca/)
15:55:15	1743/1743	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2016:38:24%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from https://canadaconstructionlimited.ca/)
15:55:17	118045/118045	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min7938.css	(from https://canadaconstructionlimited.ca/)
15:55:18	8196/8196	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/pe-icon-7-stroke.min.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/css/pe-icon-7-stroke.min7938.css	(from https://canadaconstructionlimited.ca/)
15:55:21	179550/179550	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/style.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/style7938.css	(from https://canadaconstructionlimited.ca/)
15:55:23	4940/4940	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/royalslider.css?ver=3.2.6	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/royalsliderc169.css	(from https://canadaconstructionlimited.ca/)
15:55:24	8070/8070	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/skins/universal/rs-universal.css?ver=3.2.6	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/skins/universal/rs-universalc169.css	(from https://canadaconstructionlimited.ca/)
15:55:26	28980/28980	---M--	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2009:59:50%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl-child/style.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl-child/style7938.css	(from https://canadaconstructionlimited.ca/)
15:55:36	27050/27050	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202018%2016:17:50%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/fitwp-css/custom.css?ver=1516810670	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/fitwp-css/customa765.css	(from https://canadaconstructionlimited.ca/)
15:55:40	10056/10056	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Nov%202016%2019:35:59%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://canadaconstructionlimited.ca/)
15:55:41	0/0	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Nov%202018%2016:40:07%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/wp-google-maps/wpgmza_data.js?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/wp-google-maps/wpgmza_data7938.js	(from https://canadaconstructionlimited.ca/)
